Gene Symbol	CHR	Start	end	Strand	Ensembl ID	Gene Type	Also Known As	Cytogenetic Region	Description	Summary
UBE2L3	chr22	21549447	21624034	+	ENSG00000185651.14	protein_coding	E2-F1|L-UBC|UBCH7|UbcM4	22q11.21	ubiquitin conjugating enzyme E2 L3	The modification of proteins with ubiquitin is an important cellular mechanism for targeting abnormal or short-lived proteins for degradation. Ubiquitination involves at least three classes of enzymes: ubiquitin-activating enzymes (E1s), ubiquitin-conjugating enzymes (E2s) and ubiquitin-protein ligases (E3s). This gene encodes a member of the E2 ubiquitin-conjugating enzyme family. This enzyme is demonstrated to participate in the ubiquitination of p53, c-Fos, and the NF-kB precursor p105 in vitro. Several alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Sep 2009]
UBE2L5	chr13	 30422493	30429758	+	ENSG00000236444	protein-coding	UBCH7N2|UBE2L5P	13q12.3	ubiquitin conjugating enzyme E2 L5	Predicted to enable ubiquitin conjugating enzyme activity and ubiquitin protein ligase binding activity. Predicted to be involved in protein K11-linked ubiquitination and ubiquitin-dependent protein catabolic process. Predicted to be part of ubiquitin ligase complex. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Apr 2022]
UBE2L6	chr11	57551656	57568284	-	ENSG00000156587.15	protein_coding	RIG-B|UBCH8	11q12.1	ubiquitin conjugating enzyme E2 L6	The modification of proteins with ubiquitin is an important cellular mechanism for targeting abnormal or short-lived proteins for degradation. Ubiquitination involves at least three classes of enzymes: ubiquitin-activating enzymes (E1s), ubiquitin-conjugating enzymes (E2s) and ubiquitin-protein ligases (E3s). This gene encodes a member of the E2 ubiquitin-conjugating enzyme family. This enzyme is highly similar in primary structure to the enzyme encoded by the UBE2L3 gene. Two alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, May 2011]
UBE2M	chr19	58555712	58558960	-	ENSG00000130725.7	protein_coding	UBC-RS2|UBC12|hUbc12	19q13.43	ubiquitin conjugating enzyme E2 M	The modification of proteins with ubiquitin is an important cellular mechanism for targeting abnormal or short-lived proteins for degradation. Ubiquitination involves at least three classes of enzymes: ubiquitin-activating enzymes, or E1s, ubiquitin-conjugating enzymes, or E2s, and ubiquitin-protein ligases, or E3s. This gene encodes a member of the E2 ubiquitin-conjugating enzyme family. The encoded protein is linked with a ubiquitin-like protein, NEDD8, which can be conjugated to cellular proteins, such as Cdc53/culin. [provided by RefSeq, Jul 2008]
UBE2N	chr12	93405673	93442262	-	ENSG00000177889.9	protein_coding	HEL-S-71|UBC13|UBCHBEN; UBC13|UbcH-ben|UbcH13	12q22	ubiquitin conjugating enzyme E2 N	The modification of proteins with ubiquitin is an important cellular mechanism for targeting abnormal or short-lived proteins for degradation. Ubiquitination involves at least three classes of enzymes: ubiquitin-activating enzymes, or E1s, ubiquitin-conjugating enzymes, or E2s, and ubiquitin-protein ligases, or E3s. This gene encodes a member of the E2 ubiquitin-conjugating enzyme family. Studies in mouse suggest that this protein plays a role in DNA postreplication repair. [provided by RefSeq, Jul 2008]
UBE2O	chr17	76389451	76453206	-	ENSG00000175931.12	protein_coding	E2-230K	17q25.1	ubiquitin conjugating enzyme E2 O	Ubiquitous expression in brain (RPKM 12.9), testis (RPKM 11.1) and 25 other tissues
UBE2Q1	chr1	154548577	154559028	-	ENSG00000160714.9	protein_coding	GTAP|NICE-5|NICE5|PRO3094|UBE2Q	1q21.3	ubiquitin conjugating enzyme E2 Q1	The modification of proteins with ubiquitin is an important cellular mechanism for targeting abnormal or short-lived proteins for degradation. Ubiquitination involves at least three classes of enzymes: ubiquitin-activating enzymes (E1s), ubiquitin-conjugating enzymes (E2s), and ubiquitin-protein ligases (E3s). This gene encodes a member of the E2 ubiquitin-conjugating enzyme family. The encoded protein is 98% identical to the mouse counterpart. [provided by RefSeq, Jul 2008]
UBE2Q2	chr15	75843285	75901078	+	ENSG00000140367.11	protein_coding	-	15q24.2	ubiquitin conjugating enzyme E2 Q2	-
UBE2Q2L	chr15	84172490	84182234	+	ENSG00000259511.2	protein_coding	-	15q25.2	ubiquitin conjugating enzyme E2 Q2 like	-
UBE2Q2P1	chr15	84526781	84571216	-	ENSG00000189136.8	transcribed_unprocessed_pseudogene	UBE2QP1	15q25.2	ubiquitin conjugating enzyme E2 Q2 pseudogene 1	Ubiquitous expression in ovary (RPKM 3.7), testis (RPKM 2.5) and 25 other tissues
UBE2Q2P11	chr15	84412773	84421837	-	ENSG00000259538.1	transcribed_unprocessed_pseudogene	-	15q25.2	ubiquitin conjugating enzyme E2 Q2 pseudogene 11	-
UBE2Q2P2	chr15	82355142	82420075	+	ENSG00000259429.5	transcribed_unprocessed_pseudogene	UBE2Q2P3|UBE2QP2	15q25.2	ubiquitin conjugating enzyme E2 Q2 pseudogene 2	-
UBE2Q2P6	chr15	82445719	82454837	+	ENSG00000275695.1	transcribed_unprocessed_pseudogene	-	15q25.2	ubiquitin conjugating enzyme E2 Q2 pseudogene 6	-
UBE2QL1	chr5	6448623	6494909	+	ENSG00000215218.3	protein_coding	-	5p15.31	ubiquitin conjugating enzyme E2 Q family like 1	-
UBE2R2	chr9	33817567	33920404	+	ENSG00000107341.4	protein_coding	CDC34B|E2-CDC34B|UBC3B	9p13.3	ubiquitin conjugating enzyme E2 R2	Protein kinase CK2 is a ubiquitous and pleiotropic Ser/Thr protein kinase involved in cell growth and transformation. This gene encodes a protein similar to the E2 ubiquitin conjugating enzyme UBC3/CDC34. Studies suggest that CK2-dependent phosphorylation of this ubiquitin-conjugating enzyme functions by regulating beta-TrCP substrate recognition and induces its interaction with beta-TrCP, enhancing beta-catenin degradation. [provided by RefSeq, Jul 2008]
UBE2R2-AS1	chr9	33785950	33818795	-	ENSG00000235481.2	antisense	-	9p13.3	UBE2R2 antisense RNA 1	-
UBE2U	chr1	64203627	64267368	+	ENSG00000177414.13	protein_coding	-	1p31.3	ubiquitin conjugating enzyme E2 U	-
UBE2V1	chr20	50081124	50115959	-	ENSG00000244687.11	protein_coding	CIR1|CROC-1|CROC1|UBE2V|UEV-1|UEV1|UEV1A	20q13.13	ubiquitin conjugating enzyme E2 V1	Ubiquitin-conjugating E2 enzyme variant proteins constitute a distinct subfamily within the E2 protein family. They have sequence similarity to other ubiquitin-conjugating enzymes but lack the conserved cysteine residue that is critical for the catalytic activity of E2s. The protein encoded by this gene is located in the nucleus and can cause transcriptional activation of the human FOS proto-oncogene. It is thought to be involved in the control of differentiation by altering cell cycle behavior. Alternatively spliced transcript variants encoding multiple isoforms have been described for this gene, and multiple pseudogenes of this gene have been identified. Co-transcription of this gene and the neighboring upstream gene generates a rare transcript (Kua-UEV), which encodes a fusion protein comprised of sequence sharing identity with each individual gene product. [provided by RefSeq, Apr 2012]
UBE2V1P1	chr20	3361880	3362324	-	ENSG00000226632.1	processed_pseudogene	dJ687F11.3	20p13	UBE2V1 pseudogene 1	-
UBE2V2	chr8	48008400	48064708	+	ENSG00000169139.11	protein_coding	DDVIT1|DDVit-1|EDAF-1|EDPF-1|EDPF1|MMS2|UEV-2|UEV2	8q11.21	ubiquitin conjugating enzyme E2 V2	Ubiquitin-conjugating enzyme E2 variant proteins constitute a distinct subfamily within the E2 protein family. They have sequence similarity to other ubiquitin-conjugating enzymes but lack the conserved cysteine residue that is critical for the catalytic activity of E2s. The protein encoded by this gene also shares homology with ubiquitin-conjugating enzyme E2 variant 1 and yeast MMS2 gene product. It may be involved in the differentiation of monocytes and enterocytes. [provided by RefSeq, Jul 2008]
UBE2V2P3	chr1	11278616	11279351	-	ENSG00000238199.1	processed_pseudogene	-	1p36.22	ubiquitin conjugating enzyme E2 V2 pseudogene 3	-
UBE2W	chr8	73780097	73878910	-	ENSG00000104343.19	protein_coding	UBC-16|UBC16	8q21.11	ubiquitin conjugating enzyme E2 W	This gene encodes a nuclear-localized ubiquitin-conjugating enzyme (E2) that, along with ubiquitin-activating (E1) and ligating (E3) enzymes, coordinates the addition of a ubiquitin moiety to existing proteins. The encoded protein promotes the ubiquitination of Fanconi anemia complementation group proteins and may be important in the repair of DNA damage. There is a pseudogene for this gene on chromosome 1. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2012]
UBE2Z	chr17	48908369	48929056	+	ENSG00000159202.17	protein_coding	HOYS7|USE1	17q21.32	ubiquitin conjugating enzyme E2 Z	This gene encodes an enzyme which ubiquitinates proteins which participate in signaling pathways and apoptosis. [provided by RefSeq, Feb 2012]
UBE3B	chr12	109477402	109536705	+	ENSG00000151148.13	protein_coding	BPIDS|KOS	12q24.11	ubiquitin protein ligase E3B	The modification of proteins with ubiquitin is an important cellular mechanism for targeting abnormal or short-lived proteins for degradation. Ubiquitination involves at least three classes of enzymes: E1 ubiquitin-activating enzymes, E2 ubiquitin-conjugating enzymes, and E3 ubiquitin-protein ligases. This gene encodes a member of the E3 ubiquitin-conjugating enzyme family which accepts ubiquitin from an E2 ubiquitin-conjugating enzyme and transfers the ubiquitin to the targeted substrates. A HECT (homology to E6-AP C-terminus) domain in the C-terminus of the longer isoform of this protein is the catalytic site of ubiquitin transfer and forms a complex with E2 conjugases. Shorter isoforms of this protein which lack the C-terminal HECT domain are therefore unlikely to bind E2 enzymes. Alternatively spliced transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Jul 2012]
UBE3C	chr7	157138913	157269372	+	ENSG00000009335.17	protein_coding	HECTH2	7q36.3	ubiquitin protein ligase E3C	Ubiquitous expression in testis (RPKM 21.1), esophagus (RPKM 16.8) and 25 other tissues
UBE3D	chr6	82892398	83065841	-	ENSG00000118420.16	protein_coding	C6orf157|H10BH|UBE2CBP|YJR141W	6q14.1	ubiquitin protein ligase E3D	Low expression observed in reference dataset
UBE4A	chr11	118359585	118399211	+	ENSG00000110344.9	protein_coding	E4|UBOX2|UFD2	11q23.3	ubiquitination factor E4A	This gene encodes a member of the U-box ubiquitin ligase family. The encoded protein is involved in multiubiquitin chain assembly and plays a critical role in chromosome condensation and separation through the polyubiquitination of securin. Autoantibodies against the encoded protein may be markers for scleroderma and Crohns disease. A pseudogene of this gene is located on the long arm of chromosome 3. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Feb 2011]
UBE4B	chr1	10032832	10181239	+	ENSG00000130939.18	protein_coding	E4|HDNB1|UBOX3|UFD2|UFD2A	1p36.22	ubiquitination factor E4B	The modification of proteins with ubiquitin is an important cellular mechanism for targeting abnormal or short-lived proteins for degradation. Ubiquitination involves at least three classes of enzymes: ubiquitin-activating enzymes, or E1s, ubiquitin-conjugating enzymes, or E2s, and ubiquitin-protein ligases, or E3s. This gene encodes an additional conjugation factor, E4, which is involved in multiubiquitin chain assembly. This gene is also the strongest candidate in the neuroblastoma tumor suppressor genes. Alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, Jul 2008]
UBFD1	chr16	23557362	23574389	+	ENSG00000103353.15	protein_coding	UBPH	16p12.2	ubiquitin family domain containing 1	Ubiquitous expression in testis (RPKM 14.6), thyroid (RPKM 8.8) and 25 other tissues
UBIAD1	chr1	11273206	11296049	+	ENSG00000120942.13	protein_coding	SCCD|TERE1	1p36.22	UbiA prenyltransferase domain containing 1	This gene encodes a protein thought to be involved in cholesterol and phospholipid metabolism. Mutations in this gene are associated with Schnyder crystalline corneal dystrophy. [provided by RefSeq, Oct 2008]
UBL4B	chr1	110112468	110113945	+	ENSG00000186150.4	protein_coding	-	1p13.3	ubiquitin like 4B	-
UBL5	chr19	9827892	9830115	+	ENSG00000198258.10	protein_coding	HUB1	19p13.2	ubiquitin like 5	This gene encodes a member of a group of proteins similar to ubiquitin. The encoded protein is not thought to degrade proteins like ubiquitin but to affect their function through being bound to target proteins by an isopeptide bond. The gene product has been studied as a link to predisposition to obesity based on its expression in Psammomys obesus, the fat sand rat, which is an animal model for obesity studies. Variation in this gene was found to be significantly associated with some metabolic traits (PMID: 15331561) but not associated with childhood obesity (PMID: 19189687). Pseudogenes of this gene are located on chromosomes 3, 5 and 17. Multiple alternatively spliced variants, encoding the same protein, have been identified. [provided by RefSeq, Jan 2013]
UBL5P2	chr17	32227890	32228108	-	ENSG00000266282.1	processed_pseudogene	-	17q11.2	ubiquitin like 5 pseudogene 2	-
UBL7	chr15	74445977	74461182	-	ENSG00000138629.15	protein_coding	BMSC-UbP|TCBA1	15q24.1	ubiquitin like 7	Ubiquitous expression in testis (RPKM 17.2), brain (RPKM 14.5) and 25 other tissues
UBL7-DT	chr15	 74461265	74481292	+	ENSG00000247240	ncRNA	UBL7-AS1	15q24.1	UBL7 divergent transcript	-
UBLCP1	chr5	159263081	159286040	+	ENSG00000164332.7	protein_coding	CPUB1	5q33.3	ubiquitin like domain containing CTD phosphatase 1	Ubiquitous expression in testis (RPKM 19.2), brain (RPKM 17.4) and 25 other tissues
UBN1	chr16	4846665	4882360	+	ENSG00000118900.14	protein_coding	VT|VT4	16p13.3	ubinuclein 1	Cellular senescence is a hallmark of tumor suppression and tissue aging. Senescent cells contain domains of heterochromatin, called senescence-associated heterochromatin foci (SAHF), that repress proliferation-promoting genes. The protein encoded by this gene binds to proliferation-promoting genes and is required for SAHF formation, enhancing methylation of histone H3. [provided by RefSeq, Oct 2016]
UBN2	chr7	139230356	139308236	+	ENSG00000157741.14	protein_coding	-	7q34	ubinuclein 2	-
UBOX5	chr20	3107573	3160196	-	ENSG00000185019.16	protein_coding	RNF37|UBCE7IP5|UIP5|hUIP5	20p13	U-box domain containing 5	This gene encodes a U-box domain containing protein. The encoded protein interacts with E2 enzymes and may play a role in the ubiquitination pathway. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Jun 2012]
UBOX5-AS1	chr20	3106913	3150867	+	ENSG00000235958.5	antisense	-	20p13	UBOX5 antisense RNA 1	-
UBP1	chr3	33388336	33441371	-	ENSG00000153560.11	protein_coding	LBP-1B|LBP-1a|LBP1A|LBP1B	3p22.3	upstream binding protein 1	Enables DNA-binding transcription activator activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Involved in negative regulation of viral transcription and positive regulation of transcription by RNA polymerase II. Located in cytosol and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]
UBQLN1	chr9	83659963	83708203	-	ENSG00000135018.13	protein_coding	DA41|DSK2|PLIC-1|UBQN|XDRP1	9q21.32|9q21.2-q21.3	ubiquilin 1	This gene encodes an ubiquitin-like protein (ubiquilin) that shares a high degree of similarity with related products in yeast, rat and frog. Ubiquilins contain an N-terminal ubiquitin-like domain and a C-terminal ubiquitin-associated domain. They physically associate with both proteasomes and ubiquitin ligases, and thus are thought to functionally link the ubiquitination machinery to the proteasome to affect in vivo protein degradation. This ubiquilin has also been shown to modulate accumulation of presenilin proteins, and it is found in lesions associated with Alzheimers and Parkinsons disease. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]
UBQLN4	chr1	156035301	156053794	-	ENSG00000160803.7	protein_coding	A1U|A1Up|C1orf6|CIP75|UBIN	1q22	ubiquilin 4	Ubiquitous expression in brain (RPKM 15.5), endometrium (RPKM 13.7) and 25 other tissues
UBQLN4P1	chr3	148985868	148987668	-	ENSG00000241627.3	processed_pseudogene	C3orf12|UBQLN4P	3q24	ubiquilin 4 pseudogene 1	-
UBQLNL	chr11	5514393	5516705	-	ENSG00000175518.6	protein_coding	-	11p15.4	ubiquilin like	-
UBR1	chr15	42942897	43106113	-	ENSG00000159459.11	protein_coding	JBS	15q15.2	ubiquitin protein ligase E3 component n-recognin 1	The N-end rule pathway is one proteolytic pathway of the ubiquitin system. The recognition component of this pathway, encoded by this gene, binds to a destabilizing N-terminal residue of a substrate protein and participates in the formation of a substrate-linked multiubiquitin chain. This leads to the eventual degradation of the substrate protein. The protein described in this record has a RING-type zinc finger and a UBR-type zinc finger. Mutations in this gene have been associated with Johanson-Blizzard syndrome. [provided by RefSeq, Jul 2008]
UBR2	chr6	42564062	42693504	+	ENSG00000024048.10	protein_coding	C6orf133|bA49A4.1|dJ242G1.1|dJ392M17.3	6p21.1	ubiquitin protein ligase E3 component n-recognin 2	This gene encodes an E3 ubiquitin ligase of the N-end rule proteolytic pathway that targets proteins with destabilizing N-terminal residues for polyubiquitylation and proteasome-mediated degradation. Alternative splicing results in multiple transcript variants.[provided by RefSeq, May 2010]
UBR3	chr2	169827458	170084131	+	ENSG00000144357.16	protein_coding	ZNF650	2q31.1	ubiquitin protein ligase E3 component n-recognin 3	Ubiquitous expression in brain (RPKM 13.7), thyroid (RPKM 11.5) and 25 other tissues
UBR4	chr1	19074506	19210276	-	ENSG00000127481.14	protein_coding	RBAF600|ZUBR1|p600	1p36.13	ubiquitin protein ligase E3 component n-recognin 4	The protein encoded by this gene is an E3 ubiquitin-protein ligase that interacts with the retinoblastoma-associated protein in the nucleus and with calcium-bound calmodulin in the cytoplasm. The encoded protein appears to be a cytoskeletal component in the cytoplasm and part of the chromatin scaffold in the nucleus. In addition, this protein is a target of the human papillomavirus type 16 E7 oncoprotein. [provided by RefSeq, Aug 2010]
UBR5	chr8	102253012	102412841	-	ENSG00000104517.12	protein_coding	DD5|EDD|EDD1|HYD	8q22.3	ubiquitin protein ligase E3 component n-recognin 5	This gene encodes a progestin-induced protein, which belongs to the HECT (homology to E6-AP carboxyl terminus) family. The HECT family proteins function as E3 ubiquitin-protein ligases, targeting specific proteins for ubiquitin-mediated proteolysis. This gene is localized to chromosome 8q22 which is disrupted in a variety of cancers. This gene potentially has a role in regulation of cell proliferation or differentiation. [provided by RefSeq, Jul 2008]
UBR7	chr14	93207056	93229215	+	ENSG00000012963.14	protein_coding	C14orf130|LICAS	14q32.12	ubiquitin protein ligase E3 component n-recognin 7	This gene encodes a UBR box-containing protein that belongs to the E3 ubiquitin ligase family. The protein also contains a plant homeodomain (PHD) in the C-terminus. In mammals, the encoded protein recognizes N-degrons, the destabilizing N-terminal residues of short-lived proteins, which results in ubiquitinylation, and proteolysis via the proteasome. [provided by RefSeq, Jul 2016]
UBTD1	chr10	97498868	97571209	+	ENSG00000165886.4	protein_coding	-	10q24.1-q24.2	ubiquitin domain containing 1	Broad expression in testis (RPKM 17.5), lung (RPKM 11.7) and 22 other tissues
UBTD2	chr5	172209640	172284071	-	ENSG00000168246.5	protein_coding	DCUBP	5q35.1	ubiquitin domain containing 2	Predicted to be located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]
UBTF	chr17	44205033	44221626	-	ENSG00000108312.14	protein_coding	CONDBA|NOR-90|UBF|UBF-1|UBF1|UBF2	17q21.31	upstream binding transcription factor	This gene encodes a member of the HMG-box DNA-binding protein family. The encoded protein plays a critical role in ribosomal RNA transcription as a key component of the pre-initiation complex, mediating the recruitment of RNA polymerase I to rDNA promoter regions. The encoded protein may also play important roles in chromatin remodeling and pre-rRNA processing, and its activity is regulated by both phosphorylation and acetylation. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. Pseudogenes of this gene are located on the short arm of chromosomes 3, 11 and X and the long arm of chromosome 11. [provided by RefSeq, Aug 2011]
UBTFL1	chr11	90085950	90087131	+	ENSG00000255009.4	protein_coding	C11orf27|HMGPI	11q14.3	upstream binding transcription factor like 1	UBTFL1 is a preimplantation-specific gene and is involved in early development, implantation, and embryonic stem (ES) cell derivation (summary by Yamada et al., 2010 [PubMed 19915186]).[supplied by OMIM, Jan 2011]
UBTFL6	chr2	97636780	97637803	-	ENSG00000228970.6	unprocessed_pseudogene	-	2q11.2	UBTF like 6 (pseudogene)	-
UBTFL9	chr11	49133653	49134800	-	ENSG00000254567.2	processed_pseudogene	-	11p11.12	UBTF like 9 (pseudogene)	-
UBXN1	chr11	62676498	62679117	-	ENSG00000162191.13	protein_coding	2B28|SAKS1|UBXD10	11q12.3	UBX domain protein 1	Ubiquitous expression in ovary (RPKM 47.6), fat (RPKM 40.5) and 25 other tissues
UBXN10	chr1	20186085	20196048	+	ENSG00000162543.5	protein_coding	UBXD3	1p36.12	UBX domain protein 10	Broad expression in testis (RPKM 9.4), lung (RPKM 3.6) and 16 other tissues
UBXN11	chr1	26281328	26318363	-	ENSG00000158062.20	protein_coding	COA-1|PP2243|SOC|SOCI|UBXD5	1p36.11	UBX domain protein 11	This gene encodes a protein with a divergent C-terminal UBX domain. The homologous protein in the rat interacts with members of the Rnd subfamily of Rho GTPases at the cell periphery through its C-terminal region. It also interacts with several heterotrimeric G proteins through their G-alpha subunits and promotes Rho GTPase activation. It is proposed to serve a bidirectional role in the promotion and inhibition of Rho activity through upstream signaling pathways. The 3 coding sequence of this gene contains a polymoprhic region of 24 nt tandem repeats. Several transcripts containing between 1.5 and five repeat units have been reported. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]
UBXN2A	chr2	23927285	24004909	+	ENSG00000173960.13	protein_coding	UBXD4	2p23.3	UBX domain protein 2A	Ubiquitous expression in fat (RPKM 3.2), esophagus (RPKM 2.9) and 25 other tissues
UBXN2B	chr8	58411264	58451501	+	ENSG00000215114.8	protein_coding	p37	8q12.1	UBX domain protein 2B	Ubiquitous expression in brain (RPKM 9.6), thyroid (RPKM 8.2) and 25 other tissues
UBXN4	chr2	135741619	135785055	+	ENSG00000144224.16	protein_coding	UBXD2|UBXDC1|erasin	2q21.3	UBX domain protein 4	UBXD2 is an integral membrane protein of the endoplasmic reticulum (ER) that binds valosin-containing protein (VCP; MIM 601023) and promotes ER-associated protein degradation (ERAD) (Liang et al., 2006 [PubMed 16968747]).[supplied by OMIM, Mar 2008]
UBXN6	chr19	4444999	4457822	-	ENSG00000167671.11	protein_coding	UBXD1|UBXDC2	19p13.3	UBX domain protein 6	Ubiquitous expression in testis (RPKM 49.0), kidney (RPKM 36.6) and 25 other tissues
UBXN7	chr3	196347662	196432474	-	ENSG00000163960.11	protein_coding	UBXD7	3q29	UBX domain protein 7	Ubiquitous expression in bone marrow (RPKM 8.3), testis (RPKM 7.0) and 25 other tissues
UBXN7-AS1	chr3	196431385	196432530	+	ENSG00000225822.4	antisense	-	3q29	UBXN7 antisense RNA 1	-
UCA1	chr19	15828961	15836320	+	ENSG00000214049.6	processed_transcript	CUDR|LINC00178|NCRNA00178|UCAT1|onco-lncRNA-36	19p13.12	urothelial cancer associated 1	This gene produces a long non-coding RNA that was found to be upregulated in bladder cancer and plays a regulatory role in cell proliferation. This transcript regulates several genes, including CREB (cAMP responsive element binding protein). Expression of this transcript is regulated by CCAAT/enhancer-binding protein-alpha. [provided by RefSeq, Dec 2017]
UCHL3	chr13	75549480	75606020	+	ENSG00000118939.17	protein_coding	UCH-L3	13q22.2	ubiquitin C-terminal hydrolase L3	The protein encoded by this gene is a member of the deubiquitinating enzyme family. Members of this family are proteases that catalyze the removal of ubiquitin from polypeptides and are divided into five classes, depending on the mechanism of catalysis. This protein may hydrolyze the ubiquitinyl-N-epsilon amide bond of ubiquitinated proteins to regenerate ubiquitin for another catalytic cycle. Alternative splicing results in multiple transcript variants that encode different protein isoforms. [provided by RefSeq, Aug 2012]
UCHL5	chr1	193012250	193060080	-	ENSG00000116750.13	protein_coding	CGI-70|INO80R|UCH-L5|UCH37	1q31.2	ubiquitin C-terminal hydrolase L5	Enables endopeptidase inhibitor activity; proteasome binding activity; and thiol-dependent deubiquitinase. Involved in negative regulation of proteasomal ubiquitin-dependent protein catabolic process; positive regulation of smoothened signaling pathway; and protein deubiquitination. Located in cytosol; nucleolus; and nucleoplasm. Colocalizes with Ino80 complex. [provided by Alliance of Genome Resources, Apr 2022]
UCK1	chr9	131523801	131531268	-	ENSG00000130717.12	protein_coding	URK1	9q34.13	uridine-cytidine kinase 1	This gene encodes a uridine-cytidine kinase that catalyzes the phosphorylation of uridine and cytidine to uridine monophosphate (UMP) and cytidine monophosphate (CMP) but not the phosphorylation of deoxyribonucleosides or purine ribonucleosides. This enzyme can also phosphorylate uridine and cytidine analogs and uses both ATP and GTP as a phosphate donor. Alternative splicing results in multiple splice variants encoding distinct isoforms. [provided by RefSeq, May 2012]
UCK2	chr1	165827531	165911618	+	ENSG00000143179.14	protein_coding	TSA903|UK|UMPK	1q24.1	uridine-cytidine kinase 2	This gene encodes a pyrimidine ribonucleoside kinase. The encoded protein (EC 2.7.1.48) catalyzes phosphorylation of uridine and cytidine to uridine monophosphate (UMP) and cytidine monophosphate (CMP), respectively.[provided by RefSeq, Oct 2010]
UCKL1	chr20	63939829	63956415	-	ENSG00000198276.15	protein_coding	UCK1L|URKL1	20q13.33	uridine-cytidine kinase 1 like 1	The protein encoded by this gene is a uridine kinase. Uridine kinases catalyze the phosphorylation of uridine to uridine monophosphate. This protein has been shown to bind to Epstein-Barr nuclear antigen 3 as well as natural killer lytic-associated molecule. Ubiquitination of this protein is enhanced by the presence of natural killer lytic-associated molecule. In addition, protein levels decrease in the presence of natural killer lytic-associated molecule, suggesting that association with natural killer lytic-associated molecule results in ubiquitination and subsequent degradation of this protein. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2014]
UCKL1-AS1	chr20	63953384	63956985	+	ENSG00000280213.1	antisense	UCKL1-AS|UCKL1AS|UCKL1OS	20q13.33	UCKL1 antisense RNA 1	Low expression observed in reference dataset
UCN	chr2	27307400	27308445	-	ENSG00000163794.6	protein_coding	UI|UROC	2p23.3	urocortin	This gene encodes a member of the sauvagine/corticotropin-releasing factor/urotensin I family. The encoded preproprotein is proteolytically processed to generate the mature peptide, an endogenous ligand for both corticotropin-releasing factor receptor 1 and corticotropin-releasing factor receptor 2. In the brain this peptide may be responsible for the effects of stress on appetite. This peptide may also play a role in mood disorders, neurodegeneration, and skeletal system disorders. In spite of the gene family name similarity, the product of this gene has no sequence similarity to urotensin-2. [provided by RefSeq, Feb 2016]
UCN2	chr3	48561727	48563773	-	ENSG00000145040.3	protein_coding	SRP|UCN-II|UCNI|UR|URP	3p21.31	urocortin 2	This gene is a member of the sauvagine/corticotropin-releasing factor/urotensin I family. It is structurally related to the corticotropin-releasing factor (CRF) gene and the encoded product is an endogenous ligand for CRF type 2 receptors. In the brain it may be responsible for the effects of stress on appetite. In spite of the gene family name similarity, the product of this gene has no sequence similarity to urotensin II. [provided by RefSeq, Jul 2008]
UCN3	chr10	5365009	5374692	+	ENSG00000178473.6	protein_coding	SCP|SPC|UCNIII	10p15.1	urocortin 3	This gene encodes a member of the sauvagine/corticotropin-releasing factor/urotensin I family of proteins. The encoded preproprotein is proteolytically processed to generate the mature peptide hormone, which is secreted by pancreatic beta and alpha cells. This hormone is an endogenous ligand for corticotropin-releasing factor receptor 2 and may regulate insulin secretion in response to plasma glucose levels. Patients with type 2 diabetes exhibit reduced levels of the encoded protein in beta cells. In the brain, the encoded protein may be responsible for the effects of stress on appetite. [provided by RefSeq, May 2016]
UCP1	chr4	140559434	140568805	-	ENSG00000109424.3	protein_coding	SLC25A7|UCP	4q31.1	uncoupling protein 1	Mitochondrial uncoupling proteins (UCP) are members of the family of mitochondrial anion carrier proteins (MACP). UCPs separate oxidative phosphorylation from ATP synthesis with energy dissipated as heat, also referred to as the mitochondrial proton leak. UCPs facilitate the transfer of anions from the inner to the outer mitochondrial membrane and the return transfer of protons from the outer to the inner mitochondrial membrane. They also reduce the mitochondrial membrane potential in mammalian cells. Tissue specificity occurs for the different UCPs and the exact methods of how UCPs transfer H+/OH- are not known. UCPs contain the three homologous protein domains of MACPs. This gene is expressed only in brown adipose tissue, a specialized tissue which functions to produce heat. [provided by RefSeq, Jul 2008]
